"";"var";"en";"de"
"11";"fb_moi_confirmed";"An %s mode of inheritance can be confirmed without doubt.";"Ein %ser Erbgang kann eindeutig bestätigt werden."
"12";"fb_moi_likely";"An %s mode of inheritance is likely.";"Es handelt sich wahrscheinlich um einen %sen Erbgang."
"13";"fb_moi_unlikely";"An %s mode of inheritance is rather unlikely.";"Es handelt sich eher nicht um einen %sen Erbgang."
"14";"fb_moi_excluded";"An %s mode of inheritance can be excluded without doubt.";"Ein %ser Erbgang lässt sich eindeutig ausschließen."
"15";"fb_moi_excluded_hint";"Identify a family constellation that must not exist under the assumption of an %s mode of inheritance, for example, by assigning genotypes.";"Ermittle eine Familienkonstellation, die es unter der Annahme eines %sen Erbgangs nicht geben dürfte, beispielsweise indem du Genotypen bestimmst."
"16";"fb_moi_confirmed_hint";"Start by excluding as many modes of inheritance as possible based on specific family constellations. Analyse afterwards, in how far an %s mode of inheritance appears possible.";"Versuche zunächst so viele Erbgänge wie möglich anhand spezifischer Familienkonstellationen auszuschließen. Analysiere im letzten Schritt, inwiefern es sich um einen %sen Erbgang handeln könnte."
"17";"fb_moi_likely_XD_hint";"Start by excluding as many modes of inheritance as possible based on specific family constellations. Evaluate afterwards, which of the remaining modes of inheritance appears more likely. To accomplish this goal, especially analyse the descendants of affected males and the overall gender ratio among affected.";"Versuche zunächst so viele Erbgänge wie möglich anhand spezifischer Familienkonstellationen auszuschließen. Anschließend kannst du bewerten, welcher der verbliebenen Erbgänge wahrscheinlicher wirkt. Untersuche dazu insbesondere die Nachkommen betroffener Väter und das Geschlechterverhältnis unter Betroffenen."
"18";"fb_moi_likely_XR_hint";"Start by excluding as many modes of inheritance as possible based on specific family constellations. Evaluate afterwards, which of the remaining modes of inheritance appears more likely. To accomplish this goal, especially analyse the gender ratio among affected and determine the number of alleles, necessary in each case to account for the trait appearance among family members.";"Versuche zunächst so viele Erbgänge wie möglich anhand spezifischer Familienkonstellationen auszuschließen. Anschließend kannst du bewerten, welcher der verbliebenen Erbgänge wahrscheinlicher wirkt. Untersuche dazu das Geschlechterverhältnis unter Betroffenen und bestimme die Anzahl der Allele, die jeweils benötigt würden, um das Verteilungsmuster des Merkmals zu erklären."
"19";"fb_const_uninformative";"<p>The family constellation does not allow any conclusions to be drawn about the present mode of inheritance.</p>";"<p>Die Familienkonstellation erlaubt keine Rückschlüsse auf den vorliegenden Erbgang.</p>"
"20";"fb_const_unknown";"<p>The described family constellation does not exist.</p>";"<p>Die beschriebene Familienkonstellation existiert nicht.</p>"
"21";"fb_const_101";"<details><summary>Based on the family constellation selected, %s <i class=""fas fa-caret-down""></i></summary><br/>The family constellation rules out both dominant and X-linked recessive inheritance. In both dominant modes of inheritance individuals express the trait even if only one mutated allele is present. In the case of autosomal dominant inheritance, one of the affected females' parents would have to have inherited the allele and be affected themself.<br/>In X-linked recessive inheritance, women only develop the trait if they are homozygous and have inherited a mutated allele from each parent. Since males are hemizygous with respect to the genes on the X chromosome (they have only one X chromosome), a mutated allele inevitably leads to trait expression. In the case of X-linked recessive inheritance, therefore, all fathers of affected females are also affected.</details>";"<details><summary>Anhand der gewählten Familienkonstellation lässt sich nicht schlussfolgern, dass %s <i class=""fas fa-caret-down""></i></summary><br/>Allerdings lässt sich auf der Grundlage dieser Familienkonstellation sowohl eine dominante als auch eine X-chromosomal rezessive Vererbung ausschließen. Bei beiden dominanten Vererbungsmodi prägen Individuen das Merkmal auch dann aus, wenn nur ein mutiertes Allel vorliegt. Bei einem autosomal dominanten Erbgang müsste ein Elternteil der betroffenen Tochter das Allel vererbt haben und selbst betroffen sein.<br/>Die X-chromosomal rezessive Vererbung scheidet aus, da bei diesem Erbgang Frauen das Merkmal nur dann ausbilden, wenn sie homozygote Genträgerinnen sind und von beiden Elternteilen ein mutiertes Allel geerbt haben. Da Männer bezüglich der Gene auf dem X-Chromosom hemizygot sind (sie besitzen nur ein X-Chromosom), prägen Träger eines mutierten Allels das Merkmal immer aus. Bei einem X-chromosomal rezessiven Erbgang sind alle Väter betroffener Frauen ebenfalls Merkmalsträger.</details>"
"22";"fb_const_102";"<details><summary>Based on the family constellation selected, %s <i class=""fas fa-caret-down""></i></summary><br/>The family constellation excludes a dominant inheritance. In both dominant modes of inheritance, individuals express the trait even if only one mutated allele is present. In the case of autosomal dominant inheritance, one of the son's parents would have to have inherited this allele and be affected themself. In the case of X-linked dominant inheritance, the male's mother would have to have inherited the allele and be affected herself, as the father would have inherited a Y chromosome.</details>";"<details><summary>Anhand der gewählten Familienkonstellation lässt sich nicht schlussfolgern, dass %s <i class=""fas fa-caret-down""></i></summary><br/>Allerdings lässt sich auf der Grundlage dieser Familienkonstellation ein dominanter Erbgang ausschließen. Bei beiden dominanten Vererbungsmodi prägen Individuen das Merkmal auch dann aus, wenn nur ein mutiertes Allel vorliegt. Bei einem autosomal dominanten Erbgang müsste ein Elternteil des Sohnes dieses Allel vererbt haben und selbst betroffen sein. Bei einem X-chromosomal dominanten Erbgang müsste die Mutter das Allel vererbt haben und selbst betroffen sein, da der Vater ein Y-Chromosom vererbt hat.</details>"
"23";"fb_const_103";"<details><summary>Based on the family constellation selected, %s <i class=""fas fa-caret-down""></i></summary><br/>The family constellation excludes both recessive and X-linked dominant inheritance. In both recessive modes of inheritance, individuals only develop the trait if there are only mutated alleles present. If both parents are affected, both exclusively carry mutant alleles. For both modes of recessive inheritance, daughters inherit a mutant allele from each parent and inevitably express the trait themselves.<br/>In X-linked dominant inheritance, affected fathers inherit the mutated allele to all daughters. All daughters of affected fathers inherit the trait.</details>";"<details><summary>Anhand der gewählten Familienkonstellation lässt sich nicht schlussfolgern, dass %s <i class=""fas fa-caret-down""></i></summary><br/>Allerdings lässt sich auf der Grundlage dieser Familienkonstellation sowohl eine rezessive als auch eine X-chromosomal dominante Vererbung ausschließen. Bei beiden rezessiven Vererbungsarten entwickeln Individuen das Merkmal nur, wenn ausschließlich mutierte Allele vorliegen. Sind beide Elternteile betroffen, tragen beide ausschließlich mutierte Allele. Bei beiden rezessiven Erbgängen erben Töchter zwangsläufig von jedem Elternteil ein mutiertes Allel und bilden das Merkmal selbst auch aus.<br/>Die X-chromosomal dominante Vererbung scheidet aus, da bei diesem Erbgang betroffene Väter das mutierte Allel an alle Töchter vererben. Sie besitzen nur ein X-Chromosom, welches alle Töchter erben. Bei einem X-chromosomal dominanten Erbgang prägen alle Töchter betroffener Väter das Merkmal aus.</details>"
"24";"fb_const_104";"<details><summary>Based on the family constellation selected, %s <i class=""fas fa-caret-down""></i></summary><br/>The family constellation excludes a recessive inheritance. In both recessive modes of inheritance, individuals only develop the trait if only mutated alleles exist. If both parents are affected, both carry exclusively mutant alleles. In the case of autosomal recessive inheritance, sons inherit a mutant allele from each parent and express the trait themselves. In X-linked recessive inheritance, males inherit an X chromosome with a mutated allele from the mother and a Y chromosome from the father. Since males are hemizygous with respect to the genes on the X chromosome (since they have only one X chromosome) a mutant allele inevitably results in trait expression.</details>";"<details><summary>Anhand der gewählten Familienkonstellation lässt sich nicht schlussfolgern, dass %s <i class=""fas fa-caret-down""></i></summary><br/>Allerdings lässt sich auf der Grundlage dieser Familienkonstellation eine rezessive Vererbung ausschließen. Bei beiden rezessiven Vererbungsarten entwickeln Individuen das Merkmal nur, wenn ausschließlich mutierte Allele vorliegen. Sind beide Elternteile betroffen, tragen beide ausschließlich mutierte Allele. Bei einem autosomal rezessiven Erbgang erben Söhne ein mutiertes Allel von jedem Elternteil und bilden das Merkmal selbst aus. Bei einem X-chromosomal rezessiven Erbgang erben Männer ein X-Chromosom mit einem mutierten Allel von der Mutter und ein Y-Chromosom vom Vater. Da Männer in Bezug auf die Gene auf dem X-Chromosom hemizygot sind (da sie nur ein X-Chromosom haben), führt ein mutiertes Allel zwangsläufig zur Ausprägung des Merkmals.</details>"
"25";"fb_const_105";"<details><summary>Based on the family constellation selected, %s <i class=""fas fa-caret-down""></i></summary><br/>The family constellation excludes an X-linked dominant inheritance. In this mode of inheritance, affected fathers cannot inherit a mutated allele to their sons, as they do not inherit the X but the Y chromosome from their father.</details>";"<details><summary>Anhand der gewählten Familienkonstellation lässt sich nicht schlussfolgern, dass %s <i class=""fas fa-caret-down""></i></summary><br/>Allerdings lässt sich auf der Grundlage dieser Familienkonstellation eine X-chromosomal dominante Vererbung ausschließen. Bei diesem Erbgang können betroffene Väter das mutierte Allel nicht an ihre Söhne vererben, da diese vom Vater nicht das X-Chromosom sondern das Y-Chromosom erben.</details>"
"26";"fb_const_106";"<details><summary>Based on the family constellation selected, %s <i class=""fas fa-caret-down""></i></summary><br/>The family constellation excludes an X-linked dominant inheritance. In X-linked dominant inheritance, affected fathers inherit the mutated allele to all daughters. Males have only one X chromosome that is inherited to every daughter. All daughters of affected fathers inherit the trait.</details>";"<details><summary>Anhand der gewählten Familienkonstellation lässt sich nicht schlussfolgern, dass %s <i class=""fas fa-caret-down""></i></summary><br/>Allerdings lässt sich auf der Grundlage dieser Familienkonstellation eine X-chromosomal dominante Vererbung ausschließen. Bei diesem Erbgang vererben betroffene Väter das mutierte Allel an alle Töchter. Männer besitzen nur ein X-Chromosom, welches alle Töchter erben. Bei einem X-chromosomal dominanten Erbgang prägen alle Töchter betroffener Väter das Merkmal aus.</details>"
"27";"fb_const_107";"<details><summary>Based on the family constellation selected, %s <i class=""fas fa-caret-down""></i></summary><br/>The family constellation excludes an X-linked recessive inheritance. In X-linked recessive inheritance, women only develop the trait if they are homozygous and have inherited a mutated allele from each parent. Since males are hemizygous with respect to the genes on the X chromosome (they have only one X chromosome), a mutated allele inevitably leads to trait expression. In the case of X-linked recessive inheritance, therefore, all fathers of females expressing the trait are affected as well.</details>";"<details><summary>Anhand der gewählten Familienkonstellation lässt sich nicht schlussfolgern, dass %s <i class=""fas fa-caret-down""></i></summary><br/>Allerdings lässt sich auf der Grundlage dieser Familienkonstellation eine X-chromosomal rezessive Vererbung ausschließen. Bei diesem Erbgang bilden Frauen das Merkmal nur dann aus, wenn sie homozygote Genträgerinnen sind und von beiden Elternteilen ein mutiertes Allel geerbt haben. Da Männer bezüglich der Gene auf dem X-Chromosom hemizygot sind (sie besitzen nur ein X-Chromosom), prägen Träger eines mutierten Allels das Merkmal immer aus. Bei einem X-chromosomal rezessiven Erbgang sind alle Väter betroffener Frauen ebenfalls Merkmalsträger.</details>"
"28";"fb_const_108";"<details><summary>Based on the family constellation selected, %s <i class=""fas fa-caret-down""></i></summary><br/>The family constellation excludes an X-linked recessive inheritance. In X-linked recessive inheritance, affected and thus homozygous females inherit a mutated allele to all their children. Since males are hemizygous with respect to the genes on the X chromosome (they have only one X chromosome), a mutated allele inevitably leads to trait expression. In X-linked recessive inheritance, all sons of affected females express the trait.</details>";"<details><summary>Anhand der gewählten Familienkonstellation lässt sich nicht schlussfolgern, dass %s <i class=""fas fa-caret-down""></i></summary><br/>Allerdings lässt sich auf der Grundlage dieser Familienkonstellation eine X-chromosomal rezessive Vererbung ausschließen. Bei diesem Erbgang vererben betroffene und damit homozygote Mütter an alle Kinder ein mutiertes Allel. Da Männer bezüglich der Gene auf dem X-Chromosom hemizygot sind (sie besitzen nur ein X-Chromosom), prägen Träger eines mutierten Allels das Merkmal immer aus. Bei einem X-chromosomal rezessiven Erbgang prägen alle Söhne betroffener Frauen das Merkmal aus.</details>"
"29";"fb_prevalence";"<details><summary>The frequency of the trait's appearance in the pedigree says little about the present mode of inheritance. <i class=""fas fa-caret-down“></i></summary><br/>The number of affected individuals is largely determined by the frequency of the allele within the population as a whole. If the allele is frequent in the population, it is likely that many individuals will introduce the allele into the pedigree which positively impacts trait frequency.</details>";"<details><summary>Die Häufigkeit, mit der das Merkmal im Stammbaum auftritt, sagt wenig über den vorliegenden Erbgang aus. <i class=""fas fa-caret-down""></i></summary><br/>Die Anzahl der Merkmalsträger:innen wird maßgeblich durch die Häufigkeit des entsprechenden Allels innerhalb der Gesamtbevölkerung bestimmt. Wenn das Allel in der Bevölkerung häufig vorkommt, ist es wahrscheinlich, dass viele Personen das Allel in den Stammbaum <i>eintragen</i> und damit das Merkmal entsprechend häufig im Stammbaum auftritt.</details>"
"30";"fb_distribution_pattern";"<details><summary>The observation that a trait occurs in every generation or that it does not occur in at least one generation does not allow any clear conclusions to be drawn about the mode of inheritance. <i class=""fas fa-caret-down""></i></summary><br/>In all hereditary traits, the trait can occur in every generation or be absent in individual generations, for example the last. An occurrence in every generation is even likely if the allele is common in the population and therefore multiple of the individuals marrying-in are carriers or affected. If the trait does not occur in individual generations, it is advisable to examine the corresponding family constellations individually, for example by assigning genotypes.</details>";"<details><summary>Die Beobachtung, dass ein Merkmal in jeder Generation auftritt oder dass es in mindestens einer Generation nicht auftritt, erlaubt keine eindeutigen Rückschlüsse auf den Erbgang. <i class=""fas fa-caret-down""></i></summary><br/>Bei allen Erbgängen kann das Merkmal in jeder Generation auftreten oder in einzelnen Generationen, beispielsweise der letzten, fehlen. Ein Auftreten in jeder Generation ist sogar wahrscheinlich, wenn das Allel in der Bevölkerung häufig ist und viele der <i>einheiratenden</i> Personen ebenfalls Allelträger:innen sind. Wenn das Merkmal in einzelnen Generationen nicht auftritt, ist es ratsam, die entsprechende Familienkonstellation einzeln zu untersuchen, beispielsweise durch die Bestimmung von Genotypen. </details>"
"31";"fb_gender_ratio_likely_autosomal";"<p>Even if males and females are affected almost equally often, inheritance does not necessarily have to be autosomal.</p>";"<p>Die Begründung, dass Männer und Frauen in etwa gleich häufig betroffen sind, kann lediglich ein Hinweis auf einen autosomalen Erbgang sein.</p>"
"32";"fb_gender_ratio_likely_X-linked";"<details><summary>That affected males and females appear in fairly equal numbers does not mean that an X-linked mode of inheritance is likely and an autosomal mode of inheritance unlikely. <i class=""fas fa-caret-down""></i></summary><br/>X-linked dominant traits affect significantly more females, while X-linked recessive traits affect significantly more males. However, a minor imbalance can also occur by chance.</details>";"<details><summary>Dass Männer und Frauen in etwa gleich häufig betroffen sind, spricht weder gegen einen autosomalen Erbgang, noch ist es ein Hinweis auf einen X-chromosomalen Erbgang. <i class=""fas fa-caret-down""></i></summary><br/>X-chromosomal dominante Merkmale treten signifikant häufiger bei Frauen auf, X-chromosomal rezessive Merkmale signifikant häufiger bei Männern. Aber Achtung: Eine etwas unausgewogene Verteilung kann Zufall sein.</details>"
"33";"fb_strong_claim_weak_proof";"<details><summary>The selected evidence is neither suitable to confirm nor to exclude one or more modes of inheritance. <i class=""fas fa-caret-down""></i></summary><br/>One mode of inheritance can be confirmed without doubt by excluding all alternative modes of inheritance. One mode of inheritance can be excluded without doubt, when a specific family constellation is found that cannot exist under the assumption of the mode of inheritance in question. Other pedigree features do not permit clear-cut decisions. Nevertheless, individual characteristics can provide indications that one mode of inheritance is more likely than another.</details>

";"<details><summary>Die ausgewählte Begründung eignet sich nicht dazu einen Erbgang eindeutig zu bestätigen oder auszuschließen. <i class=""fas fa-caret-down""></i></summary><br/>Ein Erbgang lässt sich nur durch den Ausschluss aller alternativen Erbgänge eindeutig bestätigen. Ein Erbgang kann zweifelsfrei ausgeschlossen werden, wenn eine spezifische Familienkonstellation existiert, die es unter der Annahme des fraglichen Erbgangs nicht geben dürfte. Andere Stammbaummerkmale lassen keine eindeutigen Schlüsse zu. Trotzdem können einzelne Merkmale, wenn sie vorliegen, einen Erbgang wahrscheinlicher erscheinen lassen als einen anderen.</details>"
"34";"fb_weak_claim_strong_proof_const";"<p>Based on the family constellation selected, the mode of inheritance can be excluded without doubt.</p>";"<p>Anhand der gewählten Familienkonstellation kann der Erbgang eindeutig ausgeschlossen werden.</p>"
"35";"fb_no_male_to_male";"<details><summary>When all daughters of affected fathers are affected, while no son expresses the trait, the inheritance may be X-linked dominant. <i class=""fas fa-caret-down“></i></summary><br/>Males have one X and one Y chromosome. They inherit the Y chromosome to all their sons and the X chromosome all their daughters. If a male is affected by an X-chromosomal dominant trait, he inherits it to all his daughters but never to his sons. If this pattern is observed multiple times in a pedigree, it may be an indication that an X-linked dominant inheritance is more likely than an autosomal dominant one. In an autosomal dominant inheritance, sons and daughters of affected males are equally likely to be affected. However, a minor imbalance can also occur by chance.</details>";"<details><summary>Wenn alle Töchter betroffener Väter Merkmalsträgerinnen sind, aber kein Sohn betroffen ist, könnte es sich um einen X-chromosomal dominanten Erbgang handeln. <i class=""fas fa-caret-down“></i></summary><br/>Männer haben ein X- und ein Y-Chromosom. Sie vererben das Y-Chromosom an alle ihre Söhne und das X-Chromosom an alle ihre Töchter. Ist ein Mann Träger eines X-chromosomal dominant vererbten Merkmals, vererbt er das entsprechende Allel an alle seine Töchter aber nie an seine Söhne. Ist dies in einem Stammbaum gehäuft zu beobachten, kann dies ein Hinweis sein, dass eine X-chromosomal dominante Vererbung wahrscheinlicher ist als eine autosomal dominante. Bei einem autosomal dominanten Erbgang sind Söhne und Töchter von betroffenen Männern mit gleicher Wahrscheinlichkeit betroffen. Aber Achtung: Eine etwas unausgewogene Verteilung kann Zufall sein.</details>"
"36";"fb_carrier_frequency";"<details><summary>For recessive traits, the number of independent alleles, necessary to explain the trait occurrence throughout the family, may provide information on the mode of inheritance. <i class=""fas fa-caret-down""></i></summary><br/>The selected evidence is helpful for recessively inherited traits when no clear decision between autosomal and X-linked inheritance is possible. In this case, the number of alleles introduced by carriers required to explain the trait's distribution can be determined. The results can be used to estimate whether X-linked recessive inheritance is more likely than autosomal recessive inheritance. This is the case if the number of necessary alleles - to be introduced by independent carriers - is significantly lower for the X-linked recessive inheritance. This is especially true if the trait is rather rare in the population, because in this case it is particularly unlikely that multiple individuals who marry into the family are carriers.</details>";"<details><summary>Bei seltenen rezessiven Merkmalen kann die Anzahl der unabhängigen Allele, die benötigt wird, um die Merkmalsverteilung innerhalb des Stammbaums zu erklären, einen Hinweis auf den Erbgang liefern. <i class=""fas fa-caret-down""></i></summary><br/>Die ausgewählte Begründung ist hilfreich, wenn keine eindeutige Entscheidung zwischen beiden rezessiven Erbgängen möglich ist. In diesem Fall kann die Anzahl der unabhängigen Allele bestimmt werden, die erforderlich ist, um die Verteilung des Merkmals zu erklären. Ein X-chromosomal rezessiver Erbgang ist wahrscheinlicher als ein autosomal rezessiver Erbgang, wenn die Anzahl der erforderlichen Allele, die von Konduktor:innen hätte eingebracht werden müssen, bei der X-chromosomal rezessiven Vererbung deutlich geringer ist. Dies gilt insbesondere dann, wenn das Merkmal in der Bevölkerung eher selten vorkommt, weil es in diesem Fall besonders unwahrscheinlich ist, dass mehrere Personen, die in die Familie <i>einheiraten</i>, Konduktor:innen sind.</details>"
"37";"fb_mainly_f";"<details><summary>The fact that predominantly females are affected may be an indication that X-linked dominant inheritance is more likely than autosomal dominant inheritance. <i class=""fas fa-caret-down""></i></summary><br/>The gender imbalance among affected in X-linked dominant inheritance arises from the fact that males inherit their X-chromosome to all their daughters and their Y-chromosome to their sons. Therefore, if a male is affected, he will inherit the corresponding allele to all his daughters but no sons. As a result, females are significantly more often affected than males. However, a minor imbalance can also occur by chance.</details>";"<details><summary>Wenn deutlich mehr Frauen als Männer betroffen sind, ist eine X-chromosomal dominante Vererbung möglicherweise wahrscheinlicher als eine autosomal dominante. <i class=""fas fa-caret-down""></i></summary><br/>Das ungleiche Geschlechterverhältnis entsteht bei der X-chromosomal dominanten Vererbung dadurch, dass Männer an ihre Söhne ein Y-Chromosom und an ihre Töchter ein X-Chromosom vererben. Ist ein Mann Merkmalsträger, vererbt er das entsprechende Allel an alle seine Töchter aber nie an seine Söhne. Dadurch sind Frauen im statistischen Mittel häufiger betroffen als Männer. Aber Achtung: Eine etwas unausgewogene Verteilung kann Zufall sein.</details>"
"38";"fb_mainly_m";"<details><summary>If males are predominantly or exclusively affected, this may indicate that X-linked recessive inheritance is more likely than autosomal recessive inheritance. <i class=""fas fa-caret-down""></i></summary><br/>In X-linked recessive inheritance, females only develop the trait if they have inherited the mutated allele twice. Males, on the other hand, develop the trait even if the mutated allele is only present once, as they lack a second X chromosome. As a result, males are significantly more often affected than females. However, a minor imbalance can also occur by chance.</details>";"<details><summary>Wenn deutlich mehr Männer als Frauen betroffen sind, ist eine X-chromosomal rezessive Vererbung möglicherweise wahrscheinlicher als eine autosomal rezessive. <i class=""fas fa-caret-down""></i></summary><br/>Das ungleiche Geschlechterverhältnis entsteht bei der X-chromosomal rezessiven Vererbung dadurch, dass bei einer X-chromosomal rezessiven Vererbung Frauen nur dann Merkmalsträgerinnen sind, wenn sie das mutierte Allel von beiden Elternteilen geerbt haben. Männer bilden das Merkmal hingegen auch dann aus, wenn das mutierte Allel nur einfach vorliegt, da ihnen ein zweites X-Chromosom fehlt. Dadurch sind Männer im statistischen Mittel häufiger betroffen als Frauen. Aber Achtung: Eine etwas unausgewogene Verteilung kann Zufall sein.</details>"
"39";"fb_other_arguments";"<p>The selected evidence can only be classified as correct, if all other conclusions are sound and well justified.</p>";"<p>Die gewählte Begründung kann nur dann als korrekt gewertet werden, wenn alle anderen Schlussfolgerungen stimmen und schlüssig begründet sind.</p>"
"40";"fb_other_arguments_claim_proof_mismatch";"<details><summary>Based on the other conclusions this conclusion is not fully sound. <i class=""fas fa-caret-down""></i></summary><br/>If three modes of inheritance can be excluded without doubt, based on specific family constellations, the remaining mode of inheritance can be viewed as confirmed. If only two modes of inheritance can be excluded without doubt, based on specific family constellations, it is necessary to decide based on probabilities. If one of the remaining two modes of inheritance was classified as rather unlikely, the other mode of inheritance can be considered as likely but not confirmed.</details>";"<details><summary>Die Schlussfolgerung erscheint vor dem Hintergrund der übrigen Schlussfolgerungen nicht vollständig schlüssig. <i class=""fas fa-caret-down""></i></summary><br/>Wenn drei Erbgänge sich auf der Grundlage spezifischer Familienkonstellationen eindeutig ausschließen lassen, kann der verbleibende Erbgang als bestätigt angesehen werden. Sollten sich nur zwei Erbgänge auf der Grundlage spezifischer Familienkonstellationen eindeutig ausschließen lassen, ist es notwendig, auf der Basis von Wahrscheinlichkeiten zu entscheiden. Wurde einer der beiden übrigen Erbgänge als unwahrscheinlich eingestuft, kann der verbleibende Erbgang als wahrscheinlich gelten, nicht aber als eindeutig bestätigt.</details>"
"41";"fb_evidence_correct";"";""
"42";"proof_message";"Choose evidence";"Beleg auswählen"
"43";"proof_constellation";"A specific family constellation should not exist.";"Eine spezifische Familienkonstellation dürfte es nicht geben."
"44";"proof_few_affected";"Only few people are affected.";"Es sind nur wenige Personen betroffen."
"45";"proof_many_affected";"A large proportion of individuals is affected.";"Ein Großteil der Personen ist betroffen."
"46";"proof_mainly_males";"Only or mainly males are affected.";"Es sind nur oder vor allem Männer betroffen."
"47";"proof_mainly_females";"Only or mainly females are affected.";"Es sind nur oder vor allem Frauen betroffen."
"48";"proof_males_and_females";"Males and females are affected at about the same rate.";"Männer und Frauen sind in etwa gleich häufig betroffen."
"49";"proof_every_generation";"There are affected people in every generation.";"In jeder Generation sind Personen betroffen."
"50";"proof_not_every_generation";"There are no affected individuals in at least one generation.";"In mindestens einer Generation ist keine Person betroffen."
"51";"proof_no_male_to_male";"All daughters of affected fathers are affected, while no son expresses the trait.";"Alle Töchter betroffener Väter sind betroffen, aber kein Sohn ist betroffen."
"52";"proof_carrier_frequency_low";"It needs few trait-determining alleles to explain the trait occurrence throughout the family.";"Es werden wenige merkmalsbestimmende Allele benötigt, um die Verbreitung des Merkmals zu erklären."
"53";"proof_carrier_frequency_high";"Multiple independent people would have had to introduce trait-determining alleles into the family.";"Vielfach hätten unabhängige Personen merkmalsbestimmende Allele in den Stammbaum eintragen müssen."
"54";"proof_carrier_frequency";"It is unlikely that the trait-determining allele was repeatedly introduced into the pedigree by independent individuals.";"Es ist unwahrscheinlich, dass das merkmalsbestimmende Allel mehrfach von unabhängigen Personen in den Stammbaum eingetragen wurde."
